city,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance Validity,Seats,Engine Displacement
Kolkata,Petrol,Sedan,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,VXi,245000,2010,Third Party,5,1298
Kolkata,Petrol,SUV,17642,Manual,1,Hyundai,Hyundai Creta,2020,S BSVI,1214000,2020,Zero Dep,5,1497
Kolkata,Diesel,Hatchback,20000,Manual,1,Tata,Tata Tiago,2018,1.05 Revotorq XZ Plus DualTone,438999,2018,Third Party,5,1047
Kolkata,Petrol,Hatchback,9157,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,Asta,753000,2021,Third Party,5,1197
Kolkata,Petrol,Sedan,65979,Manual,2,Honda,Honda Amaze,2016,S i-Vtech,362000,2016,Comprehensive,5,1198
Kolkata,Diesel,Sedan,65000,Manual,1,Skoda,Skoda Rapid,2014,1.6 TDI Active Plus,300000,2014,Third Party,5,1598
Kolkata,Petrol,Hatchback,7940,Manual,2,Datsun,Datsun RediGO,2020,1.0 T Option,389000,2020,Comprehensive,5,999
Kolkata,Petrol,Hatchback,100000,Manual,4,Hyundai,Hyundai Santro Xing,2010,GL,114999,2010,Third Party,5,1086
Kolkata,Diesel,Sedan,40000,Automatic,1,BMW,BMW 3 Series,2011,320d Highline,865000,2011,Comprehensive,5,1995
Kolkata,Petrol,Sedan,60000,Manual,2,Fiat,Fiat Linea,2011,Dynamic,185000,2011,Third Party,5,1368
Kolkata,Diesel,Sedan,19859,Automatic,1,BMW,BMW 5 Series,2019,520d Luxury Line,3950000,2019,Comprehensive,5,1995
Kolkata,Petrol,SUV,7405,Automatic,1,Jeep,Jeep Wrangler,2023,Rubicon BSVI,6250000,2023,Comprehensive,5,1998
Kolkata,Petrol,SUV,52922,Manual,1,Honda,Honda BR-V,2016,i-VTEC V MT,620000,2016,Comprehensive,7,1497
Kolkata,Petrol,SUV,60000,Manual,1,Ford,Ford Ecosport,2015,1.5 Ti VCT MT Trend BSIV,350000,2015,Third Party,5,1499
Kolkata,Petrol,Hatchback,32000,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Asta,463999,2019,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,47739,Manual,2,Honda,Honda Jazz,2017,1.2 V i VTEC,412000,2017,Comprehensive,5,1199
Kolkata,Petrol,Hatchback,10717,Automatic,2,Maruti,Maruti Alto K10,2019,VXI AGS Optional,375000,2019,Third Party,5,998
Kolkata,Diesel,Sedan,41000,Manual,1,Honda,Honda City,2015,i DTEC VX,621000,2015,Comprehensive,5,1498
Kolkata,Petrol,Hatchback,17619,Manual,2,Hyundai,Hyundai Santro,2020,Magna Corp Edition,443000,2020,Comprehensive,5,1086
Kolkata,Petrol,Hatchback,9221,Manual,1,Renault,Renault KWID,2021,1.0 RXT Opt,422000,2021,Comprehensive,5,999
Kolkata,Petrol,SUV,70000,Manual,1,Honda,Honda WR-V,2019,i-VTEC S,550000,2019,Third Party,5,1199
Kolkata,Petrol,Hatchback,10519,Manual,1,Maruti,Maruti Swift,2019,VXI,545000,2019,Third Party,5,1197
Kolkata,Petrol,Sedan,50000,Manual,2,Hyundai,Hyundai Verna,2014,1.6 SX VTVT (O),450000,2014,Third Party,5,1591
Kolkata,Cng,Hatchback,19907,Manual,1,Maruti,Maruti Celerio,2022,VXI CNG,597000,2022,Comprehensive,5,998
Kolkata,Petrol,Hatchback,84771,Manual,2,Maruti,Maruti Swift,2015,VXI,330000,2015,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,7000,Automatic,2,Honda,Honda Brio,2015,VX AT,595000,2015,Comprehensive,5,1198
Kolkata,Petrol,Sedan,50000,Manual,1,Honda,Honda City,2017,i-VTEC V,500000,2017,Third Party,5,1497
Kolkata,Diesel,Sedan,52000,Automatic,1,Audi,Audi A6,2013,2.0 TDI Premium Plus,1075000,2013,Comprehensive,5,1968
Kolkata,Petrol,SUV,15407,Manual,1,Tata,Tata Nexon,2021,XM S BSVI,835000,2021,Comprehensive,5,1199
Kolkata,Petrol,Hatchback,50000,Manual,2,Hyundai,Hyundai i10,2009,Magna 1.2,175000,2009,Third Party,5,1197
Kolkata,Petrol,Sedan,80000,Manual,1,Hindustan Motors,Ambassador,1985,Classic Nova Petrol,495000,1985,Comprehensive,5,1817
Kolkata,Petrol,Sedan,58000,Manual,1,Honda,Honda City,2017,i-VTEC V,550000,2017,Third Party,5,1497
Kolkata,Petrol,Sedan,14000,Manual,1,Hyundai,Hyundai Verna,2021,SX,1025000,2021,Third Party,5,1497
Kolkata,Petrol,Sedan,80000,Manual,3,Hyundai,Hyundai Elantra,2014,SX,350000,2014,Third Party,5,1797
Kolkata,Petrol,Sedan,45000,Manual,1,Hyundai,Hyundai Elantra,2017,2.0 SX Option,775000,2017,Third Party,5,1999
Kolkata,Petrol,Sedan,119236,Manual,1,Maruti,Maruti Swift Dzire,2014,VXI,306000,2014,Third Party,5,1197
Kolkata,Petrol,Hatchback,98074,Manual,1,Maruti,Maruti Baleno,2016,1.2 Delta,432000,2016,Comprehensive,5,1197
Kolkata,Diesel,Sedan,40330,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2013,C 220 CDI Elegance AT,1080000,2013,Comprehensive,5,2143
Kolkata,Petrol,Sedan,84989,Manual,2,Maruti,Maruti Swift Dzire,2014,VXI,314000,2014,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,72017,Manual,2,Maruti,Maruti Wagon R,2014,VXI BS IV,269000,2014,Comprehensive,5,998
Kolkata,Diesel,MUV,65002,Manual,1,Maruti,Maruti Ertiga,2015,LDI,521000,2015,Comprehensive,7,1248
Kolkata,Petrol,Sedan,85862,Manual,1,Maruti,Maruti Swift Dzire,2015,VXI,342000,2015,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,70000,Manual,2,Maruti,Maruti Alto,2011,LXi,150000,2011,Third Party,5,796
Kolkata,Petrol,Hatchback,48005,Manual,1,Mahindra,Mahindra KUV 100 NXT,2017,G80 K4 Plus,407000,2017,Third Party,6,1198
Kolkata,Petrol,Hatchback,8625,Manual,1,Hyundai,Hyundai Santro,2019,Sportz BSIV,459999,2019,Zero Dep,5,1086
