city,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance Validity,Seats,Engine Displacement
Jaipur,Petrol,Sedan,120000,Automatic,1,Skoda,Skoda Superb,2012,Elegance 1.8 TSI AT,500000,2012,Third Party,5,1798
Jaipur,Petrol,Sedan,120000,Automatic,1,Skoda,Skoda Superb,2012,Elegance 1.8 TSI AT,500000,2012,Third Party,5,1798
Jaipur,Petrol,Sedan,70000,Manual,1,Maruti,Maruti SX4,2010,VXI,250000,2010,Third Party,5,1586
Jaipur,Diesel,MUV,90000,Manual,3,Mahindra,Mahindra Bolero,2007,SLE,300000,2007,Third Party,7,2523
Jaipur,Diesel,Sedan,90000,Manual,1,Honda,Honda Amaze,2013,S i-Dtech,400000,2013,Third Party,5,1498
Jaipur,Diesel,Sedan,90000,Manual,4,Honda,Honda Amaze,2016,E i-DTEC,420000,2016,Third Party,5,1498
Jaipur,Diesel,SUV,150000,Manual,1,Nissan,Nissan Terrano,2014,XL 85 PS,400000,2014,Third Party,5,1461
Jaipur,Petrol,Hatchback,30000,Manual,2,Maruti,Maruti Baleno,2021,Zeta,800000,2021,Third Party,5,1197
Jaipur,Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Wagon R,2019,VXI,500000,2019,Third Party,5,998
Jaipur,Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Swift,2022,VXI BSVI,725000,2022,Third Party,5,1197
Jaipur,Diesel,Sedan,120000,Manual,3,Hyundai,Hyundai Verna,2011,1.6 SX,300000,2011,Third Party,5,1582
Jaipur,Diesel,Sedan,120000,Manual,1,Maruti,Maruti Swift Dzire,2014,VDI,400000,2014,Third Party,5,1248
Jaipur,Petrol,Hatchback,30000,Manual,1,Maruti,Maruti Baleno,2021,Zeta,800000,2021,Third Party,5,1197
Jaipur,Diesel,Hatchback,120000,Manual,1,Maruti,Maruti Swift,2014,ZDi,450000,2014,Third Party,5,1248
Jaipur,Diesel,Sedan,121000,Manual,1,Hyundai,Hyundai Elantra,2013,CRDi S,450000,2013,Third Party,5,1582
Jaipur,Diesel,Sedan,120000,Manual,1,Maruti,Maruti Swift Dzire,2013,VDI,500000,2013,Third Party,5,1248
Jaipur,Diesel,SUV,120000,Manual,3,Mitsubishi,Mitsubishi Pajero,2013,Sport 4X4,900000,2013,Third Party,7,2477
Jaipur,Petrol,Hatchback,150000,Manual,3,Maruti,Maruti Ritz,2011,VXi,165000,2011,Third Party,5,1197
Jaipur,Diesel,Sedan,60000,Manual,1,Maruti,Maruti Ciaz,2018,1.3 Alpha,700000,2018,Third Party,5,1248
Jaipur,Petrol,Hatchback,60000,Manual,4,Maruti,Maruti Zen,2001,Std,62000,2001,Third Party,5,993
Jaipur,Petrol,Hatchback,20000,Manual,1,Renault,Renault KWID,2022,1.0 RXL BSVI,550000,2022,Third Party,5,999
Jaipur,Petrol,Sedan,30000,Automatic,1,Honda,Honda City,2021,ZX CVT,1525000,2021,Third Party,5,1498
Jaipur,Diesel,Sedan,150000,Manual,1,Honda,Honda City,2014,i DTEC V,400000,2014,Third Party,5,1498
Jaipur,Petrol,Hatchback,150000,Manual,2,Maruti,Maruti Zen Estilo,2007,LXI BSIII,100000,2007,Third Party,5,998
Jaipur,Petrol,Hatchback,120000,Manual,2,Maruti,Maruti Alto 800,2015,LXI,220000,2015,Third Party,5,796
Jaipur,Diesel,Sedan,120000,Manual,1,Maruti,Maruti Swift Dzire,2018,VDI,630000,2018,Third Party,5,1248
Jaipur,Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai i10,2013,Magna,350000,2013,Third Party,5,1197
Jaipur,Diesel,Hatchback,150000,Manual,3,Maruti,Maruti Swift,2012,ZDi,350000,2012,Third Party,5,1248
Jaipur,Diesel,Sedan,90000,Manual,2,Maruti,Maruti Swift Dzire,2014,LDI,450000,2014,Third Party,5,1248
Jaipur,Diesel,Sedan,90000,Manual,2,Maruti,Maruti Swift Dzire,2014,LDI,450000,2014,Third Party,5,1248
Jaipur,Petrol,Hatchback,150000,Manual,1,Hyundai,Hyundai i10,2011,Magna,200000,2011,Third Party,5,1197
Jaipur,Petrol,Hatchback,120000,Manual,2,Maruti,Maruti Alto 800,2015,LXI,225000,2015,Third Party,5,796
Jaipur,Diesel,Sedan,100000,Manual,1,Maruti,Maruti Swift Dzire,2013,VDI,370000,2013,Third Party,5,1248
Jaipur,Petrol,Hatchback,90000,Manual,2,Citroen,Citroen C3,2023,Feel Dual Tone Turbo,730000,2023,Third Party,5,1199
Jaipur,Petrol,Sedan,60000,Manual,2,Maruti,Maruti Ciaz,2017,1.4 Alpha,610000,2017,Third Party,5,1373
Jaipur,Diesel,Sedan,90000,Manual,4,Maruti,Maruti Swift Dzire,2018,VDI,670000,2018,Third Party,5,1248
Jaipur,Diesel,SUV,150000,Automatic,1,Volvo,Volvo XC60,2019,Inscription D5 BSIV,4000000,2019,Third Party,5,1969
Jaipur,Diesel,SUV,150000,Manual,1,Maruti,Maruti SX4 S Cross,2019,Zeta DDiS 200 SH,800000,2019,Third Party,5,1248
Jaipur,Diesel,SUV,80000,Manual,3,Mahindra,Mahindra Bolero Power Plus,2017,Plus Non AC BSIV PS,700000,2017,Third Party,9,2523
Jaipur,Diesel,SUV,120000,Manual,2,Renault,Renault Duster,2013,110PS Diesel RxZ Plus,400000,2013,Third Party,5,1461
Jaipur,Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Alto,2009,LXi,150000,2009,Third Party,5,796
Jaipur,Petrol,Hatchback,120000,Manual,1,Hyundai,Hyundai i10,2016,Sportz 1.1L,300000,2016,Third Party,5,1086
Jaipur,Petrol,Sedan,70000,Manual,1,Maruti,Maruti Swift Dzire,2020,VXI BSVI,700000,2020,Third Party,5,1197
Jaipur,Petrol,Sedan,30000,Manual,1,Hyundai,Hyundai Aura,2020,SX,650000,2020,Third Party,5,1197
Jaipur,Diesel,MUV,150000,Manual,1,Mahindra,Mahindra Marazzo,2019,M2 BSIV,800000,2019,Third Party,7,1497
Jaipur,Diesel,SUV,80000,Manual,1,Mahindra,Mahindra Bolero,2017,ZLX,800000,2017,Third Party,7,2523
Jaipur,Petrol,Hatchback,100000,Manual,2,Maruti,Maruti Wagon R,2012,LXI BS IV,200000,2012,Third Party,5,998
Jaipur,Petrol,Hatchback,40000,Manual,1,Tata,Tata Altroz,2020,XT BSVI,700000,2020,Third Party,5,1199
Jaipur,Petrol,Hatchback,100000,Manual,2,Hyundai,Hyundai Grand i10,2016,Magna,340000,2016,Third Party,5,1197
Jaipur,Diesel,Sedan,120000,Manual,2,Maruti,Maruti Swift Dzire Tour,2018,1.3 S Diesel,420000,2018,Third Party,5,1248
Jaipur,Diesel,MUV,150000,Manual,2,Toyota,Toyota Innova,2012,2.5 E Diesel PS 7-Seater,500000,2012,Third Party,7,2494
Jaipur,Petrol,Hatchback,40000,Manual,1,Hyundai,Hyundai i20,2020,Sportz BSVI,750000,2020,Third Party,5,1197
Jaipur,Diesel,SUV,150000,Manual,1,Maruti,Maruti Vitara Brezza,2018,ZDi Plus,900000,2018,Third Party,5,1248
Jaipur,Petrol,Sedan,150000,Automatic,1,Maruti,Maruti Ciaz,2019,Delta Automatic BSIV,730000,2019,Third Party,5,1462
Jaipur,Petrol,Sedan,150000,Automatic,1,Maruti,Maruti Ciaz,2019,Delta Automatic BSIV,730000,2019,Third Party,5,1462
Jaipur,Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Swift,2022,ZXI BSVI,810000,2022,Third Party,5,1197
Jaipur,Petrol,Sedan,150000,Manual,1,Maruti,Maruti Swift Dzire,2016,VXI,500000,2016,Third Party,5,1197
Jaipur,Diesel,Hatchback,60000,Manual,2,Hyundai,Hyundai Grand i10,2016,CRDi Sportz,500000,2016,Third Party,5,1120
Jaipur,Diesel,Sedan,60000,Automatic,1,Jaguar,Jaguar XE,2019,2.0L Diesel Portfolio,3200000,2019,Third Party,5,1999
Jaipur,Petrol,Hatchback,150000,Manual,2,Maruti,Maruti 800,2011,AC,150000,2011,Third Party,4,796
Jaipur,Petrol,Hatchback,90000,Manual,2,Maruti,Maruti Alto K10,2014,2010-2014 VXI,250000,2014,Third Party,5,998
Jaipur,Diesel,Hatchback,120000,Manual,1,Renault,Renault Pulse,2012,RxL,200000,2012,Third Party,5,1461
Jaipur,Cng,Hatchback,60000,Manual,1,Maruti,Maruti S-Presso,2021,LXI Opt CNG,600000,2021,Third Party,4,998
Jaipur,Petrol,Sedan,120000,Manual,1,Tata,Tata Zest,2014,Revotron 1.2T XMS,400000,2014,Third Party,5,1193
Jaipur,Petrol,Hatchback,90000,Manual,2,Maruti,Maruti Alto,2011,LXi,200000,2011,Third Party,5,796
Jaipur,Diesel,Sedan,30000,Automatic,5,Hyundai,Hyundai Elantra,2021,CRDi SX Option AT,2000000,2021,Third Party,5,1493
Jaipur,Diesel,Hatchback,120000,Manual,1,Fiat,Fiat Avventura,2015,Power Up 1.3 Active,350000,2015,Third Party,5,1248
Jaipur,Diesel,SUV,120000,Manual,1,Mahindra,Mahindra XUV500,2013,W6 2WD,700000,2013,Third Party,7,2179
Jaipur,Diesel,Sedan,120000,Manual,1,Honda,Honda City,2015,i DTEC V,450000,2015,Third Party,5,1498
Jaipur,Diesel,Sedan,120000,Manual,1,Honda,Honda City,2015,i DTEC VX,600000,2015,Third Party,5,1498
Jaipur,Petrol,Sedan,60000,Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa SX,400000,2014,Third Party,5,1197
Jaipur,Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Alto K10,2016,VXI,302000,2016,Third Party,5,998
Jaipur,Petrol,Sedan,20000,Manual,1,Hyundai,Hyundai Aura,2022,SX,830000,2022,Third Party,5,1197
Jaipur,Diesel,Sedan,150000,Manual,1,Maruti,Maruti Swift Dzire,2014,VDI,500000,2014,Third Party,5,1248
Jaipur,Diesel,Hatchback,120000,Manual,2,Maruti,Maruti Ritz,2010,LDi,180000,2010,Third Party,5,1248
Jaipur,Diesel,Hatchback,120000,Manual,4,Ford,Ford Figo,2011,Diesel Titanium,250000,2011,Third Party,5,1399
Jaipur,Petrol,Sedan,70000,Manual,1,Hyundai,Hyundai Accent,2011,Executive,300000,2011,Third Party,5,1495
Jaipur,Petrol,Hatchback,50000,Manual,3,Maruti,Maruti Alto K10,2016,VXI,320000,2016,Third Party,5,998
Jaipur,Diesel,Sedan,120000,Manual,1,Hyundai,Hyundai Verna,2013,1.6 CRDI,450000,2013,Third Party,5,1582
Jaipur,Diesel,Hatchback,150000,Manual,2,Hyundai,Hyundai i20,2010,1.4 CRDi Asta,225000,2010,Third Party,5,1396
Jaipur,Diesel,Hatchback,150000,Manual,2,Hyundai,Hyundai i20,2010,1.4 CRDi Asta,225000,2010,Third Party,5,1396
Jaipur,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto K10,2020,VXI,450000,2020,Third Party,5,998
Jaipur,Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Alto K10,2016,VXI,320000,2016,Third Party,5,998
Jaipur,Petrol,Hatchback,50000,Manual,1,Hyundai,Hyundai i20,2011,1.2 Asta,300000,2011,Third Party,5,1197
Jaipur,Petrol,Hatchback,120000,Manual,3,Ford,Ford Figo,2011,Petrol Titanium,200000,2011,Third Party,5,1196
Jaipur,Diesel,Sedan,150000,Manual,1,Volkswagen,Volkswagen Passat,2013,Diesel Trendline,680000,2013,Third Party,5,1968
Jaipur,Petrol,Sedan,120000,Manual,4,Toyota,Toyota Corolla Altis,2008,1.8 J,350000,2008,Third Party,5,1798
Jaipur,Diesel,Hatchback,150000,Manual,2,Volkswagen,Volkswagen CrossPolo,2014,1.2 TDI,350000,2014,Third Party,5,1199
Jaipur,Diesel,Hatchback,150000,Manual,1,Maruti,Maruti Swift,2011,VDI,350000,2011,Third Party,5,1248
Jaipur,Petrol,Hatchback,150000,Manual,2,Maruti,Maruti Alto,2008,LX,200000,2008,Third Party,5,796
Jaipur,Petrol,Sedan,80000,Manual,1,Honda,Honda City,2011,1.5 V MT,450000,2011,Third Party,5,1497
Jaipur,Petrol,Hatchback,100000,Manual,3,Maruti,Maruti Swift,2014,LXI BSIV,350000,2014,Third Party,5,1197
Jaipur,Diesel,Hatchback,120000,Manual,1,Maruti,Maruti Swift,2013,VDI,525000,2013,Third Party,5,1248
Jaipur,Petrol,Hatchback,60000,Manual,2,Hyundai,Hyundai i20,2011,1.2 Magna,520000,2011,Third Party,5,1197
Jaipur,Diesel,Hatchback,120000,Manual,2,Maruti,Maruti Swift,2013,VDI,450000,2013,Third Party,5,1248
Jaipur,Diesel,Hatchback,80000,Manual,1,Fiat,Fiat Avventura,2015,MULTIJET Dynamic,600000,2015,Third Party,5,1248
Jaipur,Petrol,Hatchback,50000,Manual,1,Hyundai,Hyundai i10,2010,Magna,79000,2010,Third Party,5,1197
Jaipur,Petrol,Sedan,10000,Manual,1,Maruti,Maruti Swift Dzire,2023,ZXI Plus,500000,2023,Third Party,5,1197
Jaipur,Petrol,SUV,50000,Automatic,2,Maruti,Maruti Jimny,2023,Zeta AT,800000,2023,Third Party,4,1462
Jaipur,Petrol,Hatchback,80000,Manual,2,Maruti,Maruti Swift,2012,LXI,160000,2012,Third Party,5,1197
Jaipur,Petrol,Hatchback,90000,Automatic,2,Renault,Renault KWID,2016,1.0 RXT Optional AT 2016-2019,220000,2016,Third Party,5,999
Jaipur,Petrol,SUV,30000,Manual,1,Tata,Tata Punch,2022,Adventure Rhythm BSVI,700000,2022,Third Party,5,1199
Jaipur,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto K10,2014,VXI,200000,2014,Third Party,5,998
Jaipur,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto K10,2014,VXI,200000,2014,Third Party,5,998
Jaipur,Petrol,Sedan,100000,Manual,2,Maruti,Maruti Swift Dzire,2010,VXi,150000,2010,Third Party,5,1298
Jaipur,Petrol,MUV,70000,Manual,1,Renault,Renault Triber,2020,RXT BSVI,600000,2020,Third Party,7,999
Jaipur,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto,2012,Std,130000,2012,Third Party,5,796
Jaipur,Petrol,Hatchback,60000,Manual,1,Maruti,Maruti Alto,2012,LXi,150000,2012,Third Party,5,796
Jaipur,Petrol,Hatchback,150000,Manual,1,Maruti,Maruti Wagon R,2008,LX Minor,72000,2008,Third Party,5,998
Jaipur,Petrol,Hatchback,150000,Manual,1,Hyundai,Hyundai EON,2014,Era Plus,160000,2014,Third Party,5,814
Jaipur,Diesel,Hatchback,120000,Manual,2,Volkswagen,Volkswagen Polo,2012,Diesel Trendline 1.2L,200000,2012,Third Party,5,1199
Jaipur,Petrol,Hatchback,150000,Manual,1,Maruti,Maruti Alto,2002,LX,40000,2002,Third Party,5,796
Jaipur,Diesel,SUV,100000,Manual,1,Ford,Ford Ecosport,2014,1.5 DV5 MT Ambiente,350000,2014,Third Party,5,1498
Jaipur,Petrol,Hatchback,120000,Manual,1,Chevrolet,Chevrolet Beat,2011,LT,108000,2011,Third Party,5,1199
Jaipur,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto,2007,STD,105000,2007,Third Party,5,796
Jaipur,Petrol,SUV,20000,Manual,1,Renault,Renault Kiger,2022,RXZ,850000,2022,Third Party,5,999
Jaipur,Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Alto,2009,Std,100000,2009,Third Party,5,796
Jaipur,Petrol,Hatchback,80000,Manual,1,Maruti,Maruti Baleno,2018,1.2 Delta,500000,2018,Third Party,5,1197
Hyderabad,Petrol,Hatchback,20000,Automatic,1,Volkswagen,Volkswagen Polo,2022,1.0 TSI Highline Plus AT,1044000,2022,Third Party,5,999
Hyderabad,Petrol,Hatchback,85582,Manual,2,Hyundai,Hyundai EON,2014,Era Plus,260000,2014,Third Party,5,814
Hyderabad,Petrol,SUV,10000,Manual,1,Hyundai,Hyundai Venue,2023,S BSVI,955000,2023,Third Party,5,1197
Hyderabad,Petrol,Hatchback,50750,Manual,1,Maruti,Maruti Baleno,2017,1.2 Alpha,671000,2017,Third Party,5,1197
Hyderabad,Petrol,SUV,10000,Automatic,1,Mahindra,Mahindra Thar,2022,LX 4-Str Hard Top AT BSVI,1900000,2022,Third Party,4,1997
Hyderabad,Petrol,SUV,10000,Manual,1,Kia,Kia Sonet,2021,HTX Plus Turbo iMT BSVI,1178000,2021,Third Party,5,998
Hyderabad,Petrol,Hatchback,66366,Automatic,1,Maruti,Maruti Celerio,2017,ZXI Optional AMT BSIV,488999,2017,Zero Dep,5,998
Hyderabad,Petrol,Sedan,5000,Automatic,1,Hyundai,Hyundai Verna,2022,SX Opt Turbo,1541000,2022,Third Party,5,998
Hyderabad,Petrol,Hatchback,72544,Manual,1,Maruti,Maruti Celerio,2017,ZXI Optional,465000,2017,Third Party,5,998
Hyderabad,Petrol,Hatchback,29154,Manual,1,Ford,Ford Figo,2021,Titanium,728000,2021,Third Party,5,1194
Hyderabad,Petrol,Hatchback,70000,Automatic,1,Tata,Tata Tiago,2018,1.2 Revotron XZA,530000,2018,Third Party,5,1199
Hyderabad,Petrol,Hatchback,33730,Manual,1,Datsun,Datsun RediGO,2021,1.0 T Option,466000,2021,Third Party,5,999
Hyderabad,Petrol,Hatchback,51113,Manual,1,Renault,Renault KWID,2020,Climber 1.0 MT Opt BSIV,457000,2020,Comprehensive,5,999
Hyderabad,Diesel,Hatchback,40000,Manual,2,Volkswagen,Volkswagen Polo,2013,Diesel Comfortline 1.2L,350000,2013,Third Party,5,1199
Hyderabad,Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Wagon R,2009,LXI Minor,290000,2009,Third Party,5,1061
Hyderabad,Diesel,SUV,60000,Automatic,1,BMW,BMW X1,2020,sDrive 20d xLine,3800000,2020,Third Party,5,1995
Hyderabad,Petrol,Hatchback,64500,Manual,1,Maruti,Maruti Wagon R,2014,VXI,375000,2014,Comprehensive,5,998
Hyderabad,Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Wagon R,2020,VXI Opt,600000,2020,Third Party,5,998
Hyderabad,Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,1400000,2018,Third Party,5,1956
Hyderabad,Diesel,SUV,50000,Manual,1,Jeep,Jeep Compass,2019,2.0 Limited Plus 4X4 BSIV,1900000,2019,Third Party,5,1956
Hyderabad,Petrol,Hatchback,40000,Manual,1,Hyundai,Hyundai i20,2020,Sportz Turbo iMT,740000,2020,Third Party,5,998
Hyderabad,Petrol,Sedan,39886,Automatic,2,Hyundai,Hyundai Aura,2020,SX Plus AMT,766000,2020,Third Party,5,1197
Hyderabad,Diesel,SUV,107588,Manual,1,Renault,Renault Duster,2014,85PS Diesel RxL,440000,2014,Third Party,5,1461
Hyderabad,Petrol,Hatchback,36621,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Sportz BSIV,519000,2017,Third Party,5,1197
Hyderabad,Diesel,SUV,80000,Manual,1,MG,MG Hector Plus,2020,Sharp Diesel MT,1600000,2020,Third Party,6,1956
Hyderabad,Petrol,Hatchback,18900,Manual,1,Maruti,Maruti S-Presso,2022,VXi Plus BSVI,525000,2022,Third Party,5,998
Hyderabad,Diesel,SUV,70754,Manual,1,Kia,Kia Seltos,2019,HTK Plus D,1108000,2019,Zero Dep,5,1493
Hyderabad,Petrol,Hatchback,59832,Manual,1,Maruti,Maruti S-Presso,2020,VXI 2019-2022,420000,2020,Third Party,5,998
Hyderabad,Petrol,Sedan,60068,Manual,2,Maruti,Maruti Swift Dzire,2017,VXI 1.2,605000,2017,Third Party,5,1197
Hyderabad,Petrol,Hatchback,41261,Manual,1,Maruti,Maruti Alto 800,2018,LXI,326000,2018,Comprehensive,5,796
Hyderabad,Petrol,SUV,32209,Manual,1,Ford,Ford Ecosport,2020,1.5 Petrol Titanium BSIV,950000,2020,Third Party,5,1497
Hyderabad,Petrol,Hatchback,75747,Manual,1,Honda,Honda Jazz,2018,1.2 V i VTEC,639000,2018,Comprehensive,5,1199
Hyderabad,Petrol,Hatchback,49241,Manual,2,Hyundai,Hyundai i20,2018,1.2 Asta Option,712000,2018,Third Party,5,1197
Hyderabad,Diesel,SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GLE,2018,250d,3000000,2018,Third Party,5,2143
Hyderabad,Diesel,SUV,119422,Automatic,1,Ford,Ford Endeavour,2016,3.2 Trend AT 4X4,2250000,2016,Third Party,7,3198
Hyderabad,Petrol,Hatchback,33488,Manual,1,Maruti,Maruti Swift,2021,VXI BSVI,670000,2021,Third Party,5,1197
Hyderabad,Petrol,SUV,30000,Manual,1,Mahindra,Mahindra Thar,2021,LX 4-Str Hard Top BSVI,1650000,2021,Third Party,4,1997
Hyderabad,Petrol,Hatchback,21000,Manual,1,Tata,Tata Altroz,2022,XZ Plus BSVI,875000,2022,Third Party,5,1199
Hyderabad,Diesel,SUV,56545,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited Plus BSIV,1600000,2018,Third Party,5,1956
Hyderabad,Petrol,Hatchback,64000,Manual,1,Volkswagen,Volkswagen Polo,2017,1.0 MPI Highline,675000,2017,Third Party,5,999
Hyderabad,Petrol,Sedan,71413,Manual,2,Volkswagen,Volkswagen Ameo,2018,1.0 MPI Trendline,533000,2018,Third Party,5,999
Hyderabad,Petrol,Hatchback,31920,Manual,2,Renault,Renault KWID,2020,RXT,487000,2020,Third Party,5,799
Hyderabad,Diesel,SUV,46000,Automatic,1,BMW,BMW X1,2019,sDrive 20d xLine,3390000,2019,Comprehensive,5,1995
Hyderabad,Petrol,Hatchback,9939,Manual,2,Maruti,Maruti S-Presso,2022,VXI Plus 2019-2022,526000,2022,Comprehensive,5,998
Hyderabad,Petrol,Hatchback,7156,Manual,1,Maruti,Maruti Baleno,2022,Alpha,926000,2022,Third Party,5,1197
Hyderabad,Petrol,Sedan,20608,Manual,1,Toyota,Toyota Yaris,2018,J,850000,2018,Comprehensive,5,1496
Hyderabad,Petrol,Sedan,92000,Manual,2,Maruti,Maruti Swift Dzire,2019,VXI 1.2 BS IV,725000,2019,Comprehensive,5,1197
Hyderabad,Petrol,Hatchback,67553,Automatic,2,Maruti,Maruti Celerio,2018,ZXI Optional AMT BSIV,501000,2018,Comprehensive,5,998
Hyderabad,Petrol,Sedan,95286,Manual,1,Maruti,Maruti Swift Dzire,2017,VXI Optional,577000,2017,Third Party,5,1197
Hyderabad,Diesel,SUV,66000,Manual,1,Mahindra,Mahindra XUV500,2015,W6 2WD,894999,2015,Comprehensive,7,2179
Hyderabad,Petrol,Hatchback,35929,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,521000,2019,Zero Dep,5,1197
Hyderabad,Petrol,SUV,136035,Manual,1,Honda,Honda BR-V,2016,i-VTEC VX MT,650000,2016,Comprehensive,7,1497
Hyderabad,Diesel,MUV,93997,Manual,1,Maruti,Maruti Ertiga,2013,ZDI,670000,2013,Third Party,7,1248
Hyderabad,Petrol,Sedan,60000,Manual,1,Skoda,Skoda Rapid,2018,1.6 MPI Active BSIV,775000,2018,Third Party,5,1598
Hyderabad,Diesel,SUV,52220,Manual,1,Maruti,Maruti Vitara Brezza,2019,ZDi Plus Dual Tone,980000,2019,Comprehensive,5,1248
Hyderabad,Petrol,Sedan,61659,Manual,2,Maruti,Maruti Ciaz,2019,Zeta BSIV,830000,2019,Third Party,5,1462
Hyderabad,Petrol,Sedan,65000,Manual,1,Maruti,Maruti Swift Dzire,2020,ZXI BSVI,750000,2020,Third Party,5,1197
Hyderabad,Diesel,Hatchback,120000,Manual,1,Mahindra,Mahindra KUV 100 NXT,2018,D75 K8 Dual Tone,450000,2018,Third Party,6,1198
Hyderabad,Diesel,Hatchback,110000,Manual,2,Maruti,Maruti Swift,2017,VDI Optional,600000,2017,Third Party,5,1248
Hyderabad,Petrol,Hatchback,78969,Manual,1,Maruti,Maruti Alto 800,2017,VXI,302000,2017,Third Party,5,796
Hyderabad,Petrol,Hatchback,38939,Manual,2,Hyundai,Hyundai Grand i10 Nios,2021,Asta,736000,2021,Third Party,5,1197
Hyderabad,Petrol,Hatchback,88637,Manual,1,Maruti,Maruti Ignis,2019,1.2 Zeta BSIV,480000,2019,Comprehensive,5,1197
Hyderabad,Petrol,Hatchback,19070,Manual,1,Hyundai,Hyundai i20,2021,Asta Turbo iMT,967000,2021,Third Party,5,998
Hyderabad,Petrol,Hatchback,68556,Manual,1,Maruti,Maruti S-Presso,2020,VXI 2019-2022,432000,2020,Zero Dep,5,998
Hyderabad,Petrol,Hatchback,44356,Manual,1,Ford,Ford Figo,2019,Titanium BSIV,600000,2019,Not Available,5,1194
Hyderabad,Petrol,Sedan,73143,Manual,1,Maruti,Maruti Swift Dzire,2016,ZXI,610000,2016,Third Party,5,1197
Hyderabad,Diesel,SUV,146769,Automatic,1,Volvo,Volvo XC60,2012,D3 Kinetic,1250000,2012,Third Party,5,1985
Hyderabad,Petrol,Hatchback,67527,Manual,1,Datsun,Datsun GO,2018,T,337000,2018,Third Party,5,1198
Hyderabad,Petrol,Hatchback,79467,Automatic,1,Hyundai,Hyundai Santro,2019,Sportz AMT BSIV,527000,2019,Comprehensive,5,1086
Hyderabad,Diesel,Sedan,103174,Automatic,1,BMW,BMW 5 Series,2014,520d Prestige,1750000,2014,Third Party,5,1995
Hyderabad,Petrol,Hatchback,103046,Manual,3,Volkswagen,Volkswagen Polo,2017,1.2 MPI Comfortline,549000,2017,Third Party,5,1199
Hyderabad,Petrol,Hatchback,85110,Manual,2,Fiat,Fiat Punto EVO,2017,Pure 1.2 FIRE,270000,2017,Not Available,5,1172
Hyderabad,Diesel,Sedan,114000,Manual,1,Tata,Tata Manza,2011,ELAN Quadrajet BS III,285000,2011,Third Party,5,1248
Hyderabad,Diesel,SUV,70000,Manual,1,Renault,Renault Captur,2017,1.5 Diesel RXT,975000,2017,Third Party,5,1461
Hyderabad,Diesel,Hatchback,72000,Manual,1,Hyundai,Hyundai i20,2018,1.4 Sportz,725000,2018,Third Party,5,1396
Hyderabad,Petrol,SUV,20000,Manual,1,Hyundai,Hyundai Venue,2023,S BSVI,955000,2023,Third Party,5,1197
Hyderabad,Diesel,MUV,32000,Automatic,1,Kia,Kia Carens,2022,Luxury Plus Diesel AT 6 STR BSVI,1850000,2022,Third Party,6,1493
Hyderabad,Petrol,SUV,20000,Manual,1,Hyundai,Hyundai Venue,2023,S Opt BSVI,1010000,2023,Third Party,5,1197
Hyderabad,Petrol,SUV,22500,Automatic,1,Kia,Kia Seltos,2021,HTX IVT G,1750000,2021,Third Party,5,1497
Hyderabad,Petrol,Hatchback,54708,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,621000,2016,Comprehensive,5,1197
Hyderabad,Petrol,Hatchback,78031,Manual,1,Maruti,Maruti Baleno,2017,1.2 Zeta,633000,2017,Comprehensive,5,1197
Hyderabad,Diesel,Sedan,32000,Automatic,1,BMW,BMW 5 Series,2022,520d Luxury Line,6900000,2022,Comprehensive,5,1995
Hyderabad,Petrol,Hatchback,24337,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Magna BSIV,515000,2019,Zero Dep,5,1197
Hyderabad,Petrol,Hatchback,82243,Manual,1,Maruti,Maruti Baleno,2019,1.2 Zeta,679000,2019,Third Party,5,1197
Hyderabad,Petrol,SUV,20000,Manual,1,Hyundai,Hyundai Creta,2022,S iMT BSVI,1388000,2022,Third Party,5,1497
Hyderabad,Petrol,Hatchback,104701,Automatic,2,Maruti,Maruti Ignis,2017,1.2 AMT Zeta BSIV,609000,2017,Comprehensive,5,1197
Hyderabad,Petrol,SUV,54000,Manual,2,Toyota,Toyota Urban cruiser,2021,Mid,1000000,2021,Comprehensive,5,1462
